slice_number,block_size,query_num,elapsed(us),mean_error,version,,,,,,,,,,,,,,,,,
8,32,10000,5.53E+02,5.55E-06,CUDA,,,,,,,,,,,,,,,,,
8,32,100000,1.40E+03,5.55E-06,CUDA,,,,,,,,,,,,,,,,,
8,32,1000000,9.08E+03,5.55E-06,CUDA,,,,,,,,,,,,,,,,,
16,32,10000,5.19E+02,1.79E-06,CUDA,,,,,,,,,,,,,,,,,
16,32,100000,1.34E+03,1.73E-06,CUDA,,,,,,,,,,,,,,,,,
16,32,1000000,1.34E+04,1.73E-06,CUDA,,,,,,,,,,,,,,,,,
32,32,10000,5.80E+02,2.37E-02,CUDA,,,,,,,,,,,,,,,,,
32,32,100000,2.13E+03,2.33E-02,CUDA,,,,,,,,,,,,,,,,,
32,32,1000000,1.32E+04,2.39E-02,CUDA,,,,,,,,,,,,,,,,,
64,64,10000,8.87E+02,1.90E+07,CUDA,,,,,,,,,,,,,,,,,
64,64,100000,5.18E+03,1.85E+07,CUDA,,,,,,slice_number,query_num,mean_error,,,slice = 64,slice = 32,slice = 16,slice = 8,query_num,,
64,64,1000000,3.55E+04,1.88E+07,CUDA,,,,,,8,10000,5.55E-06,,,1.90E+07,2.37E-02,1.79E-06,5.55E-06,10000,,
,,,,,,,,,,,8,100000,5.55E-06,,,1.85E+07,2.33E-02,1.73E-06,5.55E-06,100000,,
,,,,,,,,,,,8,1000000,5.55E-06,,,1.88E+07,2.39E-02,1.73E-06,5.55E-06,1000000,,
,,,,,,,,,,,16,10000,1.79E-06,,,,,,,,,
,,,,,,,,,,,16,100000,1.73E-06,,,,,,,,,
,,,,,,,,,,,16,1000000,1.73E-06,,,,,,,,,
,,,,,,,,,,,32,10000,2.37E-02,,,,,,,,,
,,,,,,,,,,,32,100000,2.33E-02,,,,,,,,,
,,,,,,,,,,,32,1000000,2.39E-02,,,,,,,,,
,,,,,,,,,,,64,10000,1.90E+07,,,,,,,,,
,,,,,,,,,,,64,100000,1.85E+07,,,,,,,,,
,,,,,,,,,,,64,1000000,1.88E+07,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,slice_number,query_num,elapsed(us),,slice = 64,slice = 32,slice = 16,slice = 8,query_num
,,,,,,,,,,,,,,8,10000,5.53E+02,,8.87E+02,5.80E+02,5.19E+02,5.53E+02,10000
,,,,,,,,,,,,,,8,100000,1.40E+03,,5.18E+03,2.13E+03,1.34E+03,1.40E+03,100000
,,,,,,,,,,,,,,8,1000000,9.08E+03,,3.55E+04,1.32E+04,1.34E+04,9.08E+03,1000000
,,,,,,,,,,,,,,16,10000,5.19E+02,,,,,,
,,,,,,,,,,,,,,16,100000,1.34E+03,,,,,,
,,,,,,,,,,,,,,16,1000000,1.34E+04,,,,,,
,,,,,,,,,,,,,,32,10000,5.80E+02,,,,,,
,,,,,,,,,,,,,,32,100000,2.13E+03,,,,,,
,,,,,,,,,,,,,,32,1000000,1.32E+04,,,,,,
,,,,,,,,,,,,,,64,10000,8.87E+02,,,,,,
,,,,,,,,,,,,,,64,100000,5.18E+03,,,,,,
,,,,,,,,,,,,,,64,1000000,3.55E+04,,,,,,
