slice_number,block_size,query_num,elapsed(us),mean_error,version,,,,,,,,,,,,,,,
8,64,10000,1.48E+05,5.55E-06,CUDA,,,,,,,,,,,,,,,
8,128,10000,4.96E+02,5.55E-06,CUDA,,,,,,,,,,,,,,,
8,256,10000,7.30E+02,5.55E-06,CUDA,,,,,,,,,,,,,,,
8,512,10000,1.05E+03,5.55E-06,CUDA,,,,,slice_number,block_size,query_num,elapsed(us),mean_error,version,slice = 64,slice = 32,slice = 16,slice = 8,block_size
8,64,100000,1.03E+03,5.55E-06,CUDA,,,,,8,64,10000,148000,0.00000555,CUDA,8.71E+02,626,524,148000,64
8,128,100000,1.54E+03,5.55E-06,CUDA,,,,,8,128,10000,496,0.00000555,CUDA,1.08E+03,682,705,496,128
8,256,100000,2.58E+03,5.55E-06,CUDA,,,,,8,256,10000,730,0.00000555,CUDA,1.10E+03,1210,867,730,256
8,512,100000,7.05E+03,5.55E-06,CUDA,,,,,8,512,10000,1050,0.00000555,CUDA,2.81E+03,1240,1350,1050,512
8,64,1000000,8.09E+03,5.55E-06,CUDA,,,,,16,64,10000,524,0.00000179,CUDA,,,,,
8,128,1000000,1.55E+04,5.55E-06,CUDA,,,,,16,128,10000,705,0.00000179,CUDA,,,,,
8,256,1000000,2.26E+04,5.55E-06,CUDA,,,,,16,256,10000,867,0.00000179,CUDA,,,,,
8,512,1000000,4.27E+04,5.55E-06,CUDA,,,,,16,512,10000,1350,0.00000179,CUDA,,,,,
16,64,10000,5.24E+02,1.79E-06,CUDA,,,,,32,64,10000,626,0.0237,CUDA,,,,,
16,128,10000,7.05E+02,1.79E-06,CUDA,,,,,32,128,10000,682,0.0237,CUDA,,,,,
16,256,10000,8.67E+02,1.79E-06,CUDA,,,,,32,256,10000,1210,0.0237,CUDA,,,,,
16,512,10000,1.35E+03,1.79E-06,CUDA,,,,,32,512,10000,1240,0.0237,CUDA,,,,,
16,64,100000,1.68E+03,1.73E-06,CUDA,,,,,64,64,10000,8.71E+02,1.90E+07,CUDA,,,,,
16,128,100000,1.94E+03,1.73E-06,CUDA,,,,,64,128,10000,1.08E+03,1.90E+07,CUDA,,,,,
16,256,100000,3.40E+03,1.73E-06,CUDA,,,,,64,256,10000,1.10E+03,1.90E+07,CUDA,,,,,
16,512,100000,8.54E+03,1.73E-06,CUDA,,,,,64,512,10000,2.81E+03,1.90E+07,CUDA,,,,,
16,64,1000000,9.23E+03,1.73E-06,CUDA,,,,,,,,,,,,,,,
16,128,1000000,2.61E+04,1.73E-06,CUDA,,,,,,,,,,,,,,,
16,256,1000000,2.87E+04,1.73E-06,CUDA,,,,,,,,,,,,,,,
16,512,1000000,9.45E+04,1.73E-06,CUDA,,,,,,,,,,,,,,,
32,64,10000,6.26E+02,2.37E-02,CUDA,,,,,,,,,,,,,,,
32,128,10000,6.82E+02,2.37E-02,CUDA,,,,,slice_number,block_size,query_num,elapsed(us),mean_error,version,slice = 64,slice = 32,slice = 16,slice = 8,block_size
32,256,10000,1.21E+03,2.37E-02,CUDA,,,,,8,64,100000,1030,0.00000555,CUDA,5190,2380,1680,1030,64
32,512,10000,1.24E+03,2.37E-02,CUDA,,,,,8,128,100000,1540,0.00000555,CUDA,4390,3240,1940,1540,128
32,64,100000,2.38E+03,2.33E-02,CUDA,,,,,8,256,100000,2580,0.00000555,CUDA,12800,7920,3400,2580,256
32,128,100000,3.24E+03,2.33E-02,CUDA,,,,,8,512,100000,7050,0.00000555,CUDA,21900,9630,8540,7050,512
32,256,100000,7.92E+03,2.33E-02,CUDA,,,,,16,64,100000,1680,0.00000173,CUDA,,,,,
32,512,100000,9.63E+03,2.33E-02,CUDA,,,,,16,128,100000,1940,0.00000173,CUDA,,,,,
32,64,1000000,2.14E+04,2.39E-02,CUDA,,,,,16,256,100000,3400,0.00000173,CUDA,,,,,
32,128,1000000,3.35E+04,2.39E-02,CUDA,,,,,16,512,100000,8540,0.00000173,CUDA,,,,,
