slice_number,block_size,query_num,elapsed(us),mean_error,version,,,,,,,,,,,
8,0,10000,2.09E+03,5.54E-06,Serial,,,,,,,,,,,
8,0,100000,2.76E+04,5.55E-06,Serial,,,,,,,,,,,
8,0,1000000,2.34E+05,5.54E-06,Serial,,,,,,,,,,,
16,0,10000,7.96E+03,1.59E-06,Serial,,,,,,,,,,,
16,0,100000,8.17E+04,1.55E-06,Serial,,,,,,,,,,,
16,0,1000000,7.78E+05,1.55E-06,Serial,,,,,,,,,,,
32,0,10000,2.82E+04,2.17E-02,Serial,,,,,,,,,,,
32,0,100000,3.03E+05,2.15E-02,Serial,,,,,,,,,,,
32,0,1000000,2.97E+06,2.22E-02,Serial,,,,,,,,,,,
64,0,10000,1.32E+05,1.83E+07,Serial,,,slice_number,query_num,mean_error,,slice = 64,slice = 32,slice = 16,slice = 8,query_num
64,0,100000,1.24E+06,1.81E+07,Serial,,,8,10000,5.54E-06,,1.83E+07,2.17E-02,1.59E-06,5.54E-06,10000
64,0,1000000,1.26E+07,1.82E+07,Serial,,,8,100000,5.55E-06,,1.81E+07,2.15E-02,1.55E-06,5.55E-06,100000
,,,,,,,,8,1000000,5.54E-06,,1.82E+07,2.22E-02,1.55E-06,5.54E-06,1000000
,,,,,,,,16,10000,1.59E-06,,,,,,
,,,,,,,,16,100000,1.55E-06,,,,,,
,,,,,,,,16,1000000,1.55E-06,,,,,,
,,,,,,,,32,10000,2.17E-02,,,,,,
,,,,,,,,32,100000,2.15E-02,,,,,,
,,,,,,,,32,1000000,2.22E-02,,,,,,
,,,,,,,,64,10000,1.83E+07,,,,,,
,,,,,,,,64,100000,1.81E+07,,,,,,
,,,,,,,,64,1000000,1.82E+07,,,,,,
